alias,standard_field
市场,market
交易市场,market
market,market
股票代码,ticker
证券代码,ticker
代码,ticker
Ticker,ticker
公司名称,company_name
证券简称,company_name
名称,company_name
行业,industry
所属行业,industry
申万行业,industry
中信行业,industry
货币,currency
币种,currency
数据日期,quote_date
行情日期,quote_date
收盘价,price
最新价,price
股价,price
总股本,shares_outstanding
流通股本,shares_outstanding
稀释股本,shares_outstanding
总市值,market_cap
市值,market_cap
企业价值,enterprise_value
EV,enterprise_value
净债务,net_debt
净资产,net_assets
股东权益,net_assets
营业收入TTM,revenue_ttm
收入TTM,revenue_ttm
营业收入,revenue_ttm
归母净利润TTM,net_income_ttm
净利润TTM,net_income_ttm
净利润,net_income_ttm
EBITDA,ebitda
经营现金流净额,operating_cash_flow
经营现金流,operating_cash_flow
资本开支,capex
CapEx,capex
股息率,dividend_yield
PE中位数,industry_pe_median
行业PE中位数,industry_pe_median
PB中位数,industry_pb_median
行业PB中位数,industry_pb_median
EVEBITDA中位数,industry_ev_ebitda_median
行业EV/EBITDA中位数,industry_ev_ebitda_median
ROE,roe
ROIC,roic
毛利率,gross_margin
资产负债率,debt_to_assets
净负债EBITDA,net_debt_to_ebitda
净负债/EBITDA,net_debt_to_ebitda
流动比率,current_ratio
3年收入CAGR,revenue_cagr_3y
三年收入复合增速,revenue_cagr_3y
3年净利CAGR,net_income_cagr_3y
三年净利复合增速,net_income_cagr_3y
审计意见,audit_opinion
风险标记,risk_flag
来源,source
