source_ticker,ticker,company_name,industry,gics_sub_industry,cik,date_added,enabled
MMM,MMM,3M,Industrials,Industrial Conglomerates,66740,1957-03-04,1
AOS,AOS,A. O. Smith,Industrials,Building Products,91142,2017-07-26,1
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment,1800,1957-03-04,1
ABBV,ABBV,AbbVie,Health Care,Biotechnology,1551152,2012-12-31,1
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services,1467373,2011-07-06,1
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software,796343,1997-05-05,1
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors,2488,2017-03-20,1
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761,1998-10-02,1
AFL,AFL,Aflac,Financials,Life & Health Insurance,4977,1999-05-28,1
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,1090872,2000-06-05,1
APD,APD,Air Products,Materials,Industrial Gases,2969,1985-04-30,1
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1559720,2023-09-18,1
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1086222,2007-07-12,1
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals,915913,2016-07-01,1
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443,2017-03-20,1
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies,1097149,2017-06-19,1
ALLE,ALLE,Allegion,Industrials,Building Products,1579241,2013-12-02,1
LNT,LNT,Alliant Energy,Utilities,Electric Utilities,352541,2016-07-01,1
ALL,ALL,Allstate,Financials,Property & Casualty Insurance,899051,1995-07-13,1
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,1652044,2006-04-03,1
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,1652044,2014-04-03,1
MO,MO,Altria,Consumer Staples,Tobacco,764180,1957-03-04,1
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail,1018724,2005-11-18,1
