market,ticker,raw_ticker,company_name,industry,index_name,currency,exchange,enabled
A股,000001.SZ,000001,平安银行,,沪深300,CNY,SZSE,1
A股,000002.SZ,000002,万科A,,沪深300,CNY,SZSE,1
A股,000063.SZ,000063,中兴通讯,,沪深300,CNY,SZSE,1
A股,000100.SZ,000100,TCL科技,,沪深300,CNY,SZSE,1
A股,000157.SZ,000157,中联重科,,沪深300,CNY,SZSE,1
A股,000166.SZ,000166,申万宏源,,沪深300,CNY,SZSE,1
A股,000301.SZ,000301,东方盛虹,,沪深300,CNY,SZSE,1
A股,000333.SZ,000333,美的集团,,沪深300,CNY,SZSE,1
A股,000338.SZ,000338,潍柴动力,,沪深300,CNY,SZSE,1
A股,000408.SZ,000408,藏格矿业,,沪深300,CNY,SZSE,1
A股,000425.SZ,000425,徐工机械,,沪深300,CNY,SZSE,1
A股,000538.SZ,000538,云南白药,,沪深300,CNY,SZSE,1
A股,000568.SZ,000568,泸州老窖,,沪深300,CNY,SZSE,1
A股,000596.SZ,000596,古井贡酒,,沪深300,CNY,SZSE,1
A股,000617.SZ,000617,中油资本,,沪深300,CNY,SZSE,1
A股,000625.SZ,000625,长安汽车,,沪深300,CNY,SZSE,1
A股,000630.SZ,000630,铜陵有色,,沪深300,CNY,SZSE,1
A股,000651.SZ,000651,格力电器,,沪深300,CNY,SZSE,1
A股,000657.SZ,000657,中钨高新,,沪深300,CNY,SZSE,1
A股,000708.SZ,000708,中信特钢,,沪深300,CNY,SZSE,1
A股,000725.SZ,000725,京东方A,,沪深300,CNY,SZSE,1
A股,000768.SZ,000768,中航西飞,,沪深300,CNY,SZSE,1
A股,000776.SZ,000776,广发证券,,沪深300,CNY,SZSE,1
A股,000792.SZ,000792,盐湖股份,,沪深300,CNY,SZSE,1
A股,000807.SZ,000807,云铝股份,,沪深300,CNY,SZSE,1
A股,000858.SZ,000858,五 粮 液,,沪深300,CNY,SZSE,1
A股,000895.SZ,000895,双汇发展,,沪深300,CNY,SZSE,1
A股,000938.SZ,000938,紫光股份,,沪深300,CNY,SZSE,1
A股,000963.SZ,000963,华东医药,,沪深300,CNY,SZSE,1
A股,000975.SZ,000975,山金国际,,沪深300,CNY,SZSE,1
A股,000977.SZ,000977,浪潮信息,,沪深300,CNY,SZSE,1
