ticker,cik,company_name,exchange,industry,market_cap,enterprise_value,ebitda,industry_pe_median,industry_pb_median,industry_ev_ebitda_median,roic,gross_margin,current_ratio,revenue_cagr_3y,net_income_cagr_3y,dividend_yield,audit_opinion,risk_flag
MMM,66740,3M CO,NYSE,Industrials,,,,,,,,,,,,,标准无保留,无
AOS,91142,SMITH A O CORP,NYSE,Industrials,,,,,,,,,,,,,标准无保留,无
ABT,1800,ABBOTT LABORATORIES,NYSE,Health Care,,,,,,,,,,,,,标准无保留,无
ABBV,1551152,AbbVie Inc.,NYSE,Health Care,,,,,,,,,,,,,标准无保留,无
ACN,1467373,Accenture plc,NYSE,Information Technology,,,,,,,,,,,,,标准无保留,无
ADBE,796343,ADOBE INC.,Nasdaq,Information Technology,,,,,,,,,,,,,标准无保留,无
AMD,2488,ADVANCED MICRO DEVICES INC,Nasdaq,Information Technology,,,,,,,,,,,,,标准无保留,无
AES,874761,AES CORP,NYSE,Utilities,,,,,,,,,,,,,标准无保留,无
AFL,4977,AFLAC INC,NYSE,Financials,,,,,,,,,,,,,标准无保留,无
A,1090872,"AGILENT TECHNOLOGIES, INC.",NYSE,Health Care,,,,,,,,,,,,,标准无保留,无
APD,2969,"Air Products & Chemicals, Inc.",NYSE,Materials,,,,,,,,,,,,,标准无保留,无
ABNB,1559720,"Airbnb, Inc.",Nasdaq,Consumer Discretionary,,,,,,,,,,,,,标准无保留,无
AKAM,1086222,AKAMAI TECHNOLOGIES INC,Nasdaq,Information Technology,,,,,,,,,,,,,标准无保留,无
ALB,915913,ALBEMARLE CORP,NYSE,Materials,,,,,,,,,,,,,标准无保留,无
ARE,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",NYSE,Real Estate,,,,,,,,,,,,,标准无保留,无
ALGN,1097149,ALIGN TECHNOLOGY INC,Nasdaq,Health Care,,,,,,,,,,,,,标准无保留,无
ALLE,1579241,Allegion plc,NYSE,Industrials,,,,,,,,,,,,,标准无保留,无
LNT,352541,ALLIANT ENERGY CORP,Nasdaq,Utilities,,,,,,,,,,,,,标准无保留,无
ALL,899051,ALLSTATE CORP,NYSE,Financials,,,,,,,,,,,,,标准无保留,无
GOOGL,1652044,Alphabet Inc.,Nasdaq,Communication Services,,,,,,,,,,,,,标准无保留,无
GOOG,1652044,Alphabet Inc.,Nasdaq,Communication Services,,,,,,,,,,,,,标准无保留,无
MO,764180,"ALTRIA GROUP, INC.",NYSE,Consumer Staples,,,,,,,,,,,,,标准无保留,无
AMZN,1018724,AMAZON COM INC,Nasdaq,Consumer Discretionary,,,,,,,,,,,,,标准无保留,无
