ticker,price,shares_outstanding,net_debt,currency,quote_date,price_unit,shares_unit,debt_unit,quote_source,updated_at
MMM,160.44000244140625,521.567261,8847.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AOS,62.720001220703125,139.16738,430.6,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ABT,95.4000015258789,1741.812429,27244.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ABBV,261.07000732421875,1766.792821,55112.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ACN,137.35000610351562,621.337104,,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ADBE,219.72000122070312,397.5,-2169.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMD,517.8200073242188,1630.600639,-2361.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AES,14.579999923706055,713.157713,,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AFL,120.87999725341797,508.984904,,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
A,130.69000244140625,282.431944,1548.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
APD,314.19000244140625,222.680686,2831.6,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ABNB,148.92999267578125,608.0,-4562.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AKAM,113.16999816894531,145.385451,,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ALB,135.55999755859375,117.934651,792.022,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ARE,52.58000183105469,174.26948,12101.275,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ALGN,184.52000427246094,71.618127,,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ALLE,140.5800018310547,85.935861,1721.8,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
LNT,78.02999877929688,258.277037,10892.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
ALL,250.3300018310547,257.42093,7294.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
GOOGL,359.9100036621094,12116.0,41436.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
GOOG,356.17999267578125,12116.0,41436.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
MO,72.70999908447266,1669.891235,21071.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMZN,242.6699981689453,10757.109436,20090.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMCR,45.0,462.34569,3819.4,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AEE,115.0199966430664,276.751616,20113.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AEP,138.50999450683594,544.104955,49248.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AXP,351.9599914550781,682.326443,6685.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AIG,79.38999938964844,530.206221,7913.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMT,166.02999877929688,465.893069,22915.3,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AWK,136.86000061035156,195.280521,5459.229,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMP,489.1600036621094,89.897084,-6205.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AME,234.6199951171875,229.203002,854.668,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
AMGN,374.1499938964844,539.708274,45285.0,USD,2026-07-02,USD/share,million_shares,USD_million,Yahoo Finance chart; SEC Company Facts,2026-07-05
